species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25
Clusia crenata,1300,1800,600,0,N/A,N/A,N/A
Clusia cuneifolia,2100,1800,1300,N/A,N/A,N/A,N/A
Clusia decussata,2400,2300,1800,0,0,N/A,N/A
Clusia dixonii,2000,1500,2300,N/A,N/A,N/A,N/A
Clusia ducu,1200,2800,1500,700,800,1000,N/A
Clusia ducuoides,2000,2700,3000,1300,1000,0,N/A
Clusia elliptica,3300,1300,1400,1500,1500,1300,N/A
Clusia flavida,2100,1700,2000,1500,1200,1000,N/A
Clusia hammeliana,2100,1300,1200,500,1400,400,N/A
Clusia haughtii,1400,1700,1100,300,2400,1100,N/A
Clusia hydrogera,1800,2300,1200,N/A,N/A,N/A,N/A
Clusia inesiana,1800,2200,N/A,N/A,N/A,N/A,N/A
Clusia lineata,2400,2600,1900,700,0,N/A,N/A
Clusia minor,2100,2200,1900,2000,900,0,N/A
Clusia mocoensis,1800,1800,1200,N/A,N/A,N/A,N/A
Clusia multiflora,2600,2900,2400,800,2600,1600,N/A
Clusia octandra,500,700,1500,700,0,N/A,N/A
Clusia palmicida,2100,1100,500,0,N/A,N/A,N/A
Clusia penduliflora,2200,1600,1500,0,0,1000,N/A
Clusia pentandra,1000,900,0,N/A,N/A,N/A,N/A
Clusia schomburgkiana,2300,2800,100,200,0,N/A,N/A
Clusia sphaerocarpa,0,3100,2500,1400,1500,2400,N/A
Clusia thurifera,1700,1000,1300,200,700,N/A,N/A
Clusia trochiformis,1600,600,1200,1200,2900,1600,N/A
Clusia volubilis,500,700,N/A,N/A,N/A,0,N/A
Coccoloba acuminata,700,500,0,100,400,0,N/A
Coccoloba ascendens,200,200,N/A,0,0,N/A,N/A
Coccoloba coronata,1300,100,300,200,0,0,N/A
Coccoloba densifrons,2300,600,1100,200,300,0,N/A
Coccoloba excelsa,100,700,100,N/A,0,N/A,N/A
Coccoloba lehmannii,200,900,500,N/A,200,0,N/A
Coccoloba mollis,1900,1000,1700,1500,1500,1300,N/A
Coccoloba obovata,1200,1200,1000,N/A,N/A,0,N/A
Coccoloba padiformis,600,800,0,0,N/A,N/A,N/A
Cochlospermum orinocense,1900,500,200,100,400,N/A,N/A
Coffea arabica,2800,2300,2200,1300,1900,1700,N/A
Compsoneura anoriensis,500,N/A,N/A,N/A,N/A,N/A,N/A
Compsoneura claroensis,700,N/A,N/A,N/A,N/A,N/A,N/A
Compsoneura mutisii,800,2900,1300,N/A,N/A,N/A,N/A
Compsoneura rigidifolia,2100,1100,N/A,N/A,N/A,N/A,N/A
Conceveiba parvifolia,1300,N/A,N/A,N/A,N/A,N/A,N/A
Conceveiba pleiostemona,1700,600,N/A,N/A,N/A,N/A,N/A
Condaminea corymbosa,2800,1800,2300,1900,2500,2900,N/A
Connarus panamensis,3100,N/A,N/A,N/A,N/A,N/A,N/A
Copaifera canime,200,N/A,N/A,N/A,N/A,N/A,N/A
Cordia alliodora,2000,3300,2100,2600,1800,1400,1300
Cordia bicolor,1600,1900,N/A,200,1500,1000,N/A
Cordia bogotensis,2400,1100,0,N/A,N/A,N/A,N/A
Cordia dwyeri,2000,700,500,N/A,N/A,N/A,N/A
Cordia nodosa,1300,1200,1200,1500,3400,1200,N/A
Cordia panamensis,1700,3000,700,N/A,0,N/A,N/A
Cordiera myrciifolia,0,200,N/A,N/A,500,0,N/A
Cornus peruviana,2100,1600,2100,1300,2900,700,N/A
Cornutia pyramidata,500,2400,1800,600,1000,0,N/A
Cosmibuena grandiflora,2100,1800,1000,1700,1700,1600,N/A
Couma macrocarpa,700,700,500,400,1100,N/A,N/A
Couratari guianensis,800,1500,200,100,600,N/A,N/A
Couroupita guianensis,800,3100,500,200,300,N/A,N/A
Coussapoa contorta,900,3200,1000,N/A,0,N/A,N/A
Coussapoa crassivenosa,400,400,1600,N/A,0,0,N/A
Coussapoa herthae,1000,1000,900,0,N/A,N/A,N/A
Coussapoa villosa,1800,2300,1800,2000,1700,600,N/A
Coussarea antioquiana,500,N/A,N/A,N/A,N/A,N/A,N/A
Coussarea enneantha,1900,N/A,N/A,N/A,N/A,N/A,N/A
Coussarea grandifolia,1500,0,N/A,N/A,N/A,N/A,N/A
Coussarea hirticalyx,0,1100,1000,800,800,0,N/A
Coussarea klugii,0,800,1000,700,0,N/A,N/A
Coussarea latifolia,100,1700,0,N/A,N/A,N/A,N/A
Coussarea macrocalyx,1700,800,0,N/A,N/A,N/A,N/A
Coussarea paniculata,2300,1600,1300,1100,1400,700,N/A
Coutarea hexandra,3300,800,1400,600,1100,1300,1700
Crepidospermum rhoifolium,1000,600,500,0,200,N/A,N/A
Critoniopsis glandulata,1600,0,N/A,N/A,N/A,N/A,N/A
Croton argenteus,0,N/A,N/A,N/A,N/A,300,0
Croton gossypiifolius,2000,1900,0,N/A,N/A,N/A,N/A
Croton killipianus,2200,N/A,0,N/A,N/A,N/A,N/A
Croton lechleri,0,1800,2200,1700,2200,1500,200
Croton mutisianus,2500,2400,2100,N/A,N/A,N/A,N/A
Croton niveus,0,0,N/A,N/A,N/A,N/A,N/A
Croton sampatik,0,1700,800,600,1200,600,N/A
Croton schiedeanus,1100,1300,1500,1100,900,N/A,N/A
Croton smithianus,2200,1000,0,N/A,N/A,N/A,N/A
Cuatresia cuspidata,600,1600,1700,0,N/A,N/A,N/A
Cuatresia garciae,400,N/A,N/A,N/A,N/A,N/A,N/A
Cuatresia riparia,2100,2600,2400,0,0,N/A,N/A
Cupania americana,2400,2300,2700,0,2200,0,N/A
Cupania cinerea,2100,3400,2200,700,1500,1300,N/A
Cupania latifolia,2200,1600,2200,2500,1800,1200,N/A
Cupania livida,2200,1500,900,N/A,0,N/A,N/A
Cupania scrobiculata,1900,1300,200,400,600,N/A,N/A
Curatella americana,1900,1200,N/A,200,1600,100,N/A
Cyathea andina,2700,1500,0,N/A,1300,400,N/A
Cyathea austropallescens,0,0,N/A,N/A,1500,600,N/A
Cyathea bipinnatifida,800,1900,2200,2500,2800,800,N/A
Cyathea brunnescens,1600,2100,800,N/A,0,N/A,N/A
Cyathea caracasana,1900,3000,2900,400,1400,0,N/A
Cyathea conjugata,1300,1800,1200,1000,2000,600,N/A
Cyathea delgadii,1400,2800,2100,1900,2800,1800,N/A
Cyathea divergens,1100,1900,0,N/A,1300,N/A,N/A
Cyathea frondosa,400,1500,200,N/A,0,N/A,N/A
Cyathea fulva,1600,2300,2400,N/A,0,N/A,N/A
Cyathea kalbreyeri,800,0,400,0,1600,N/A,N/A
Cyathea lechleri,500,700,1200,2200,2900,1100,N/A
Cyathea lindeniana,1100,1300,0,1600,1700,N/A,N/A
Cyathea meridensis,2500,1300,1100,800,800,N/A,N/A
Cyathea multiflora,1700,1800,1900,N/A,1100,600,N/A
Cyathea nigripes,600,1500,1500,N/A,N/A,N/A,N/A
Cyathea pallescens,1300,1700,2000,500,700,1900,N/A
Cyathea pauciflora,2500,300,400,N/A,0,N/A,N/A
Cyathea pilosissima,100,2800,1600,1400,2200,N/A,N/A
Cyathea planadae,0,1000,1200,200,700,1200,N/A
Cyathea pungens,900,1400,1500,1600,1400,1200,N/A
Cyathea squamipes,2800,1800,1700,2200,2700,2100,N/A
Cyathea straminea,300,1000,500,0,600,0,N/A
Cyathea suprastrigosa,400,N/A,N/A,N/A,N/A,N/A,N/A
Cybianthus humilis,1500,1900,1900,N/A,N/A,N/A,N/A
Cybianthus iteoides,1700,2500,N/A,N/A,N/A,N/A,N/A
Cybianthus laurifolius,2200,1900,N/A,N/A,N/A,N/A,N/A
Cybianthus marginatus,2200,2700,2500,1800,800,N/A,N/A
Cybianthus pastensis,2100,2500,2100,600,2600,N/A,N/A
Cybianthus poeppigii,2300,2000,1500,0,700,500,N/A
Cybianthus schlimii,1900,1700,1700,0,N/A,N/A,N/A
Cybianthus venezuelanus,2500,1900,1400,N/A,1600,1200,N/A
Cymbopetalum sanchezii,100,N/A,N/A,N/A,N/A,N/A,N/A
Cynometra bauhiniifolia,300,0,0,0,N/A,N/A,N/A
Cynophalla flexuosa,2100,1300,900,800,200,1700,500
Dacryodes acuptipyrena,0,N/A,0,N/A,N/A,N/A,N/A
Dacryodes belemensis,0,200,100,0,1300,300,N/A
Dacryodes peruviana,400,600,1400,200,1200,N/A,N/A
Delostoma integrifolium,1700,2200,2400,1600,1400,N/A,N/A
Dendrobangia boliviana,1400,1300,1300,1500,1600,0,N/A
Dendropanax arboreus,2400,3200,1700,N/A,1700,1900,N/A
Dendropanax caucanus,2600,1700,2200,0,N/A,N/A,N/A
Dendropanax cuneatus,100,1100,200,100,1100,1300,N/A
Dendropanax macrophyllus,1600,1700,500,N/A,N/A,N/A,N/A
Dialium guianense,700,800,400,N/A,300,N/A,N/A
Dicksonia karsteniana,400,3000,1600,0,800,200,N/A
Dicksonia sellowiana,2200,2200,2700,1500,2300,1200,N/A
Dictyocaryum lamarckianum,2000,800,1300,0,800,1000,N/A
Dieffenbachia seguine,1000,1300,1100,N/A,0,N/A,N/A
Dilodendron costaricense,1300,300,N/A,N/A,N/A,N/A,N/A
Dimorphandra macrostachya,300,100,100,N/A,N/A,N/A,N/A
Dioicodendron dioicum,2800,2200,1600,2300,2000,0,N/A
Diospyros artanthifolia,1000,0,500,600,900,N/A,N/A
Discophora guianensis,1600,1400,900,1300,1300,N/A,N/A
Doliocarpus dentatus,900,700,2800,800,1500,1300,N/A
Drimys granadensis,2000,2600,1600,900,N/A,N/A,N/A
Duguetia antioquensis,1100,N/A,N/A,N/A,N/A,N/A,N/A
Duguetia caniflora,0,N/A,N/A,N/A,N/A,N/A,N/A
Duguetia colombiana,100,N/A,N/A,N/A,N/A,N/A,N/A
Duguetia gentryi,200,N/A,N/A,N/A,N/A,N/A,N/A
Dunalia solanacea,2200,2300,1900,N/A,N/A,N/A,N/A
Duroia hirsuta,1300,1300,1100,1300,500,N/A,N/A
Dussia lehmannii,2100,2200,2200,N/A,N/A,N/A,N/A
Dussia macroprophyllata,2400,0,0,N/A,N/A,N/A,N/A
Dussia tessmannii,100,1800,2200,1600,2000,N/A,N/A
Dystovomita paniculata,600,2000,1200,300,800,N/A,N/A
Ecclinusa lanceolata,300,1000,400,200,900,N/A,N/A
Ecclinusa ramiflora,0,0,300,N/A,200,N/A,N/A
Elaeagia ecuadorensis,0,500,1100,1200,100,N/A,N/A
Elaeagia karstenii,2300,1900,2100,N/A,1800,0,N/A
Elaeagia mariae,1900,2400,1600,2000,2300,1900,N/A
Elaeagia myriantha,1500,1000,2300,1200,500,N/A,N/A
Elaeagia pastoensis,1400,2000,1500,1000,900,N/A,N/A
Elaeagia utilis,2000,2000,1900,1500,1500,N/A,N/A
Endlicheria formosa,700,2100,2100,1100,1600,0,N/A
Endlicheria gracilis,200,1200,1000,1000,400,0,N/A
Endlicheria griseo-sericea,800,1200,2000,1900,1300,N/A,N/A
Endlicheria griseosericea,800,1200,2000,1900,1300,N/A,N/A
Endlicheria metallica,1400,1300,1500,2000,1300,900,N/A
Endlicheria pyriformis,1500,1600,1300,300,1000,N/A,N/A
Endlicheria sericea,1200,1400,2100,N/A,200,0,N/A
Endlicheria tschudyana,100,N/A,200,0,0,N/A,N/A
Entada gigas,1400,1100,600,N/A,N/A,N/A,N/A
Enterolobium cyclocarpum,1800,2000,300,N/A,0,0,300
Enterolobium schomburgkii,700,600,100,N/A,700,0,N/A
Eriotheca globosa,900,300,0,N/A,900,100,N/A
Erythrina berteroana,900,N/A,0,0,0,N/A,N/A
Erythrina edulis,2600,3300,2900,2100,2000,N/A,N/A
Erythrina poeppigiana,2300,1800,1800,1300,2100,1900,N/A
Erythroxylum citrifolium,2100,2200,2100,900,1400,1200,0
Erythroxylum gracilipes,2000,1000,1300,0,800,100,N/A
Erythroxylum havanense,100,N/A,N/A,N/A,N/A,N/A,N/A
Erythroxylum hondense,900,1200,N/A,N/A,N/A,N/A,N/A
Erythroxylum macrophyllum,2200,1700,2100,1300,1800,1700,0
Erythroxylum oxycarpum,600,N/A,N/A,N/A,N/A,N/A,N/A
Escallonia myrtilloides,3500,1800,2200,2000,1900,2100,N/A
Escallonia paniculata,3200,2300,1900,1500,1600,2000,0
Escallonia pendula,2700,1700,1100,1400,800,N/A,N/A
Eschweilera albiflora,1000,1200,100,N/A,900,N/A,N/A
Eschweilera antioquensis,2400,1900,0,N/A,0,N/A,N/A
Eschweilera bogotensis,1600,200,N/A,N/A,N/A,N/A,N/A
Eschweilera bracteosa,0,500,200,400,0,N/A,N/A
Eschweilera caudiculata,500,3200,1700,N/A,N/A,N/A,N/A
Eschweilera coriacea,1600,1400,2000,600,1400,1200,N/A
Eschweilera microcalyx,200,N/A,N/A,N/A,N/A,N/A,N/A
Eschweilera panamensis,600,0,N/A,N/A,N/A,N/A,N/A
Eschweilera sessilis,1800,700,100,N/A,N/A,N/A,N/A
Eugenia anastomosans,0,1800,1900,0,N/A,N/A,N/A
Eugenia biflora,2000,1700,1600,500,1600,1500,N/A
Eugenia dittocrepis,1600,1300,900,N/A,1900,N/A,N/A
Eugenia egensis,500,500,1900,2000,1800,2100,N/A
Eugenia feijoi,500,300,1900,400,1800,1800,N/A
Eugenia florida,1800,3100,2300,1900,2100,1900,500
Eugenia oerstediana,100,800,1000,N/A,0,N/A,N/A
Eugenia rhombea,0,N/A,N/A,N/A,N/A,N/A,N/A
Eugenia tamaensis,500,N/A,N/A,0,N/A,0,N/A
Eugenia uniflora,600,1400,N/A,N/A,1400,2100,500
Euphorbia arenaria,2100,1600,0,N/A,N/A,N/A,N/A
Euplassa duquei,0,2400,N/A,N/A,N/A,N/A,N/A
Euterpe precatoria,1800,1300,1800,1600,2300,1300,N/A
Faramea anisocalyx,100,1300,2700,1100,1400,300,N/A
Faramea calyptrata,0,1600,900,N/A,N/A,N/A,N/A
Faramea capillipes,800,1100,800,600,1000,700,N/A
Faramea cuspidata,2100,1700,N/A,N/A,N/A,N/A,N/A
Faramea eurycarpa,2300,2500,2100,0,N/A,N/A,N/A
Faramea fragrans,1900,200,500,N/A,N/A,N/A,N/A
Faramea jasminoides,2700,2800,1700,1500,900,N/A,N/A
Faramea multiflora,2000,2900,1700,2200,2100,1900,N/A
Faramea oblongifolia,2100,2400,1700,N/A,500,N/A,N/A
Faramea occidentalis,2500,1800,700,1100,1800,1000,N/A
Faramea quinqueflora,1800,2700,2000,0,1000,N/A,N/A
Ferdinandusa loretensis,0,400,900,700,700,N/A,N/A
Ficus americana,2900,3800,2700,2300,2800,1600,N/A
Ficus apollinaris,1600,1800,900,N/A,800,400,N/A
Ficus brevibracteata,2000,1900,1900,N/A,100,N/A,N/A
Ficus carchiana,0,1000,200,N/A,N/A,N/A,N/A
Ficus cervantesiana,600,1000,2200,0,1400,600,N/A
Ficus citrifolia,3200,2000,2200,2000,2600,1500,600
Ficus coerulescens,0,1200,700,500,1600,1000,N/A
Ficus crassiuscula,1100,100,800,0,400,0,N/A
Ficus crocata,1000,1600,900,0,900,100,N/A
Ficus cuatrecasana,2300,2500,2200,0,1300,0,0
Ficus cuatrecasasiana,1900,2400,2400,1500,2000,1700,300
Ficus donnell-smithii,3400,400,800,300,1000,N/A,N/A
Ficus dulciaria,900,1200,300,N/A,N/A,N/A,N/A
Ficus eliadis,0,N/A,N/A,N/A,N/A,N/A,N/A
Ficus eximia,1200,1100,0,200,1700,1300,0
Ficus gigantosyce,2700,700,1700,900,800,N/A,N/A
Ficus gomelleira,0,1400,800,2200,1600,1100,N/A
Ficus guianensis,2400,2000,2600,0,2100,1400,N/A
Ficus hartwegii,2800,1700,700,N/A,N/A,N/A,N/A
Ficus insipida,2500,2900,2300,800,2200,2100,N/A
Ficus krukovii,0,1900,1300,300,900,N/A,N/A
Ficus lacunata,900,400,300,N/A,N/A,N/A,N/A
Ficus macbridei,1600,1600,1200,100,1600,1000,N/A
Ficus mathewsii,1600,200,300,0,1600,700,0
Ficus maxima,3400,2200,1900,1900,2900,1600,0
Ficus mutisii,2000,2100,1600,300,1900,0,N/A
Ficus obtusifolia,1000,1800,1900,800,1800,1000,N/A
Ficus pallida,1900,3200,N/A,0,1100,N/A,N/A
Ficus paraensis,1600,1600,1600,800,1400,900,N/A
Ficus pertusa,1500,1400,2000,1700,1600,700,N/A
Ficus popenoei,100,0,200,0,200,N/A,N/A
Ficus schippii,1600,1700,1900,1000,1600,N/A,N/A
Ficus tonduzii,2600,2900,2100,1900,2400,1000,N/A
Ficus tovarensis,600,N/A,N/A,N/A,N/A,N/A,N/A
Ficus trianae,800,1100,0,N/A,N/A,N/A,N/A
Ficus trigona,100,2000,1900,1700,2800,1600,0
Ficus velutina,1900,2400,N/A,N/A,N/A,N/A,N/A
Frangula goudotiana,2100,1200,N/A,N/A,N/A,N/A,N/A
Frangula granulosa,900,1900,1400,1300,800,100,N/A
Frangula sphaerosperma,3300,1100,800,N/A,N/A,1500,N/A
Freziera candicans,1400,900,N/A,N/A,N/A,N/A,N/A
Freziera canescens,900,3200,2200,N/A,N/A,N/A,N/A
Freziera chrysophylla,1500,1000,N/A,N/A,0,N/A,N/A
Freziera karsteniana,1700,100,1300,1400,300,0,N/A
Freziera punctata,700,1200,N/A,N/A,N/A,N/A,N/A
Freziera reticulata,1500,1800,800,0,0,N/A,N/A
Freziera verrucosa,2200,2000,2500,0,N/A,N/A,N/A
Fusaea longifolia,400,1900,400,100,300,100,N/A
Gaiadendron punctatum,2400,3700,3100,3000,2700,2200,N/A
Garcinia intermedia,1700,1600,1900,N/A,800,N/A,N/A
Garcinia macrophylla,1800,1800,1600,900,1700,1100,N/A
Garcinia madruno,2400,2500,1400,1100,1800,1100,N/A
Geissanthus ambigua,800,1800,2400,2300,2700,2800,N/A
Geissanthus andinus,1700,1100,1700,N/A,N/A,N/A,N/A
Alsophila cuspidata,1700,1200,1900,1700,1800,1200,N/A
Alsophila engelii,1600,900,1600,0,800,N/A,N/A
Alsophila erinacea,1400,2200,2000,1700,2400,2100,N/A
Alsophila incana,600,1100,0,600,1400,1400,0
Alzatea verticillata,1600,2100,1000,1500,1400,200,N/A
Amaioua guianensis,1600,700,400,1000,1400,1300,N/A
Ampelocera edentula,200,900,1100,1500,1300,0,N/A
Ampelocera longissima,300,0,1100,N/A,N/A,N/A,N/A
Ampelocera macrocarpa,500,N/A,N/A,N/A,N/A,N/A,N/A
Amphirrhox longifolia,0,300,500,N/A,0,N/A,N/A
Amyris ignea,0,0,N/A,N/A,N/A,N/A,N/A
Amyris pinnata,1200,1200,N/A,1100,N/A,N/A,N/A
Amyris sylvatica,1100,700,N/A,N/A,N/A,N/A,N/A
Anacardium excelsum,2400,2000,0,N/A,N/A,N/A,N/A
Anacardium occidentale,1200,1200,200,200,400,0,N/A
Anadenanthera colubrina,0,N/A,1300,2000,2200,2100,1600
Anadenanthera columbrina,0,N/A,1300,2000,2200,2100,1600
Anaxagorea brevipes,400,800,400,100,800,0,N/A
Andira chigorodensis,900,0,N/A,N/A,N/A,N/A,N/A
Andira inermis,2000,1600,500,500,1600,200,N/A
Andira surinamensis,500,600,400,200,300,N/A,N/A
Andira taurotesticulata,1700,1800,0,N/A,N/A,N/A,N/A
Aniba canelilla,0,800,N/A,N/A,600,N/A,N/A
Aniba coto,1900,2000,2100,100,400,2000,N/A
Aniba hostmanniana,100,1700,2000,900,1300,0,N/A
Aniba muca,2200,2000,2700,1600,1700,1700,N/A
Aniba panurensis,2000,2900,1900,200,1700,700,N/A
Aniba perutilis,2900,1800,2100,400,1900,700,N/A
Aniba puchury-minor,3400,1800,500,100,700,N/A,N/A
Aniba riparia,1300,1100,2100,100,0,0,N/A
Aniba robusta,2100,1700,0,N/A,1400,N/A,N/A
Annona amazonica,600,400,500,700,0,N/A,N/A
Annona cherimola,2000,2700,1200,1800,2600,400,N/A
Annona cuspidata,0,800,1100,300,1700,0,N/A
Geissanthus betancurii,1400,N/A,N/A,N/A,N/A,N/A,N/A
Geissanthus bogotensis,2200,1800,0,N/A,N/A,N/A,N/A
Geissanthus ecuadorensis,0,1600,2000,N/A,0,N/A,N/A
Geissanthus longistamineus,700,2800,1700,N/A,2700,100,N/A
Geissanthus occidentalis,1800,2400,0,N/A,N/A,N/A,N/A
Genipa americana,1700,1500,2200,1300,1100,500,N/A
Geonoma deversa,1300,2500,1100,1600,1700,600,N/A
Geonoma orbignyana,3100,2200,2800,2100,2600,1900,N/A
Geonoma undata,2600,2900,3100,1300,2800,1700,N/A
Gloeospermum longifolium,1300,1700,2100,N/A,500,N/A,N/A
Gloeospermum sphaerocarpum,1900,1700,900,900,1000,N/A,N/A
Glossoloma tetragonoides,1700,2700,2700,800,300,N/A,N/A
Godmania aesculifolia,2700,300,N/A,N/A,0,0,N/A
Gonzalagunia cornifolia,3100,2400,1800,1200,1000,0,N/A
Gonzalagunia dicocca,300,1600,900,0,N/A,N/A,N/A
Gordonia fruticosa,3000,3300,3100,1400,2100,2400,N/A
Gordonia robusta,1700,N/A,N/A,N/A,N/A,N/A,N/A
Goupia glabra,700,300,100,0,300,N/A,N/A
Graffenrieda cucullata,1300,2300,1400,2100,1500,1100,N/A
Graffenrieda emarginata,1700,200,1800,1700,2300,1700,N/A
Graffenrieda galeottii,1300,1300,1700,N/A,N/A,0,N/A
Graffenrieda gracilis,1500,1800,1000,1000,1200,1000,N/A
Graffenrieda intermedia,0,900,1600,1300,0,200,N/A
Graffenrieda latifolia,2100,0,N/A,N/A,N/A,N/A,N/A
Graffenrieda micrantha,300,N/A,N/A,N/A,N/A,N/A,N/A
Graffenrieda santamartensis,700,N/A,N/A,N/A,N/A,N/A,N/A
Grias haughtii,500,1200,N/A,N/A,N/A,N/A,N/A
Guapira costaricana,1500,1700,N/A,N/A,N/A,N/A,N/A
Guapira pubescens,600,N/A,N/A,N/A,N/A,N/A,N/A
Guarea cartaguenya,100,1600,800,N/A,N/A,N/A,N/A
Guarea glabra,2100,1900,1900,1700,1000,N/A,N/A
Guarea grandifolia,2200,2300,1400,1100,600,0,N/A
Guarea guidonia,2200,1900,1800,1300,1800,1400,N/A
Guarea kunthiana,3000,2900,2600,2300,2700,2100,N/A
Guarea macrophylla,1100,1600,1200,2400,2300,2100,N/A
Guarea pterorhachis,800,800,1700,1500,1400,1200,N/A
Guarea purusana,0,1800,1700,300,500,1000,N/A
